rows,dim,dtype,iters,raw_ms,raw_gbps,graph_ms,graph_gbps,speedup
1024,64,f16,1000,0.0064,41.1,0.0012,227.2,5.3333
4096,128,f16,1000,0.0069,302.2,0.0024,858.3,2.8750
16384,128,f16,2000,0.0111,754.1,0.0075,1123.3,1.4800
16384,256,f16,2000,0.0136,1231.1,0.0098,1719.6,1.3878
65536,256,f16,150,0.1787,375.5,0.1797,373.5,0.9944
131072,256,f16,150,0.3599,372.9,0.3612,371.6,0.9964
262144,256,f16,50,0.7181,373.8,0.7212,372.2,0.9957
