    rows    dim dtype kern  acc      tpr  rpb     grid  block        ms      GB/s    %peak
    2048    128 bf16  smem  native    32    1     2048     32    0.0067     156.1    34.8%
    2048    128 bf16  smem  native    32    4     2048    128    0.0081     128.7    28.7%
    2048    128 bf16  smem  native    32   16     2048    512    0.0124      84.4    18.8%
    2048    128 bf16  smem  native    32    1     2048     32    0.0070     149.5    33.4%
    2048    128 bf16  smem  native    32    4     2048    128    0.0083     125.9    28.1%
    2048    128 bf16  smem  native    32   16     2048    512    0.0124      84.4    18.8%
    8192    128 f16   smem  native    32    1     8192     32    0.0106     397.5    88.7%
    8192    128 f16   smem  native    32    4     8192    128    0.0124     337.6    75.4%
    8192    128 f16   smem  native    32   16     8192    512    0.0410     102.2    22.8%
    8192    128 f16   smem  native    32    1     8192     32    0.0104     404.2    90.2%
    8192    128 f16   smem  native    32    4     8192    128    0.0124     338.8    75.6%
    8192    128 f16   smem  native    32   16     8192    512    0.0410     102.2    22.8%
    8192    128 f16   smem  native    32    1     8192     32    0.0105     398.6    89.0%
    8192    128 f16   smem  native    32    4     8192    128    0.0124     338.0    75.4%
    8192    128 f16   smem  native    32   16     8192    512    0.0410     102.2    22.8%
    8192    128 bf16  smem  native    32    1     8192     32    0.0104     401.8    89.7%
    8192    128 bf16  smem  native    32    4     8192    128    0.0124     337.8    75.4%
    8192    128 bf16  smem  native    32   16     8192    512    0.0411     102.1    22.8%
    8192    128 bf16  smem  native    32    1     8192     32    0.0105     400.1    89.3%
    8192    128 bf16  smem  native    32    4     8192    128    0.0124     337.6    75.4%
    8192    128 bf16  smem  native    32   16     8192    512    0.0411     102.1    22.8%
    8192    128 bf16  smem  native    32    1     8192     32    0.0105     401.1    89.5%
    8192    128 bf16  smem  native    32    4     8192    128    0.0124     338.1    75.5%
    8192    128 bf16  smem  native    32   16     8192    512    0.0411     102.1    22.8%
   32768    128 f16   smem  native    32    1    32768     32    0.0349     480.1   107.1%
   32768    128 f16   smem  native    32    4    32768    128    0.0391     429.5    95.9%
   32768    128 f16   smem  native    32   16    32768    512    0.1538     109.1    24.3%
   32768    128 f16   smem  native    32    1    32768     32    0.0350     480.0   107.1%
   32768    128 f16   smem  native    32    4    32768    128    0.0391     428.7    95.7%
   32768    128 f16   smem  native    32   16    32768    512    0.1569     106.9    23.9%
   32768    128 f16   smem  native    32    1    32768     32    0.0350     480.0   107.1%
   32768    128 f16   smem  native    32    4    32768    128    0.0392     428.2    95.6%
   32768    128 f16   smem  native    32   16    32768    512    0.1538     109.1    24.4%
   32768    128 bf16  smem  native    32    1    32768     32    0.0349     480.2   107.2%
   32768    128 bf16  smem  native    32    4    32768    128    0.0390     429.7    95.9%
   32768    128 bf16  smem  native    32   16    32768    512    0.1542     108.8    24.3%
   32768    128 bf16  smem  native    32    1    32768     32    0.0350     479.4   107.0%
   32768    128 bf16  smem  native    32    4    32768    128    0.0390     429.8    95.9%
   32768    128 bf16  smem  native    32   16    32768    512    0.1538     109.1    24.3%
   32768    128 bf16  smem  native    32    1    32768     32    0.0349     480.1   107.1%
   32768    128 bf16  smem  native    32    4    32768    128    0.0390     429.8    95.9%
   32768    128 bf16  smem  native    32   16    32768    512    0.1538     109.1    24.3%
  131072    128 f16   smem  native    32    1   131072     32    0.1776     377.9    84.3%
  131072    128 f16   smem  native    32    4   131072    128    0.2454     273.4    61.0%
  131072    128 f16   smem  native    32   16   131072    512    0.8818      76.1    17.0%
