    rows   dim dtype           impl         ms      GB/s
   16384   256   f16 rotate+quant_fp8     0.2110      79.5
   16384   256   f16 rotate+quant_int4     0.2389      70.2
   16384   256  bf16         memcpy     0.0194     866.7
   16384   256  bf16         cublas     0.0554     303.0
   16384   256  bf16        ref_fht     0.0345     486.3
   16384   256  bf16 rotate+quant_fp8     0.2103      79.8
   16384   256  bf16 rotate+quant_int4     0.2333      71.9
   65536   256   f16         memcpy     0.1777     377.7
   65536   256   f16         cublas     0.2027     331.0
   65536   256   f16        ref_fht     0.1729     388.1
   65536   256   f16 rotate+quant_fp8     0.8968      74.8
   65536   256   f16 rotate+quant_int4     1.1586      57.9
   65536   256  bf16         memcpy     0.1721     390.1
   65536   256  bf16         cublas     0.2026     331.2
   65536   256  bf16        ref_fht     0.1732     387.5
   65536   256  bf16 rotate+quant_fp8     0.8986      74.7
   65536   256  bf16 rotate+quant_int4     1.1660      57.6
  262144   256   f16         memcpy     0.7061     380.1
  262144   256   f16         cublas     0.8987     298.7
  262144   256   f16        ref_fht     0.6972     385.0
  262144   256   f16 rotate+quant_fp8     3.9171      68.5
  262144   256   f16 rotate+quant_int4     4.8301      55.6
  262144   256  bf16         memcpy     0.7061     380.2
  262144   256  bf16         cublas     0.7896     340.0
  262144   256  bf16        ref_fht     0.7014     382.7
  262144   256  bf16 rotate+quant_fp8     3.8004      70.6
  262144   256  bf16 rotate+quant_int4     4.7278      56.8
    1024   512   f16         memcpy     0.0080     262.6
    1024   512   f16         cublas     0.0237      88.5
    1024   512   f16        ref_fht     0.0152     138.3
    1024   512   f16 rotate+quant_fp8     0.1023      20.5
    1024   512   f16 rotate+quant_int4     0.1158      18.1
    1024   512  bf16         memcpy     0.0061     345.7
    1024   512  bf16         cublas     0.0374      56.0
    1024   512  bf16        ref_fht     0.0144     145.6
    1024   512  bf16 rotate+quant_fp8     0.1017      20.6
    1024   512  bf16 rotate+quant_int4     0.1100      19.1
    4096   512   f16         memcpy     0.0076    1104.2
    4096   512   f16         cublas     0.0576     145.8
    4096   512   f16        ref_fht     0.0143     586.0
    4096   512   f16 rotate+quant_fp8     0.1073      78.2
    4096   512   f16 rotate+quant_int4     0.1218      68.9
    4096   512  bf16         memcpy     0.0069    1217.1
    4096   512  bf16         cublas     0.0674     124.5
    4096   512  bf16        ref_fht     0.0472     177.9
    4096   512  bf16 rotate+quant_fp8     0.2177      38.5
    4096   512  bf16 rotate+quant_int4     0.2425      34.6
   16384   512   f16         memcpy     0.0254    1321.3
   16384   512   f16         cublas     0.1966     170.7
   16384   512   f16        ref_fht     0.0416     806.8
   16384   512   f16 rotate+quant_fp8     0.3668      91.5
   16384   512   f16 rotate+quant_int4     0.4420      75.9
   16384   512  bf16         memcpy     0.0253    1328.6
   16384   512  bf16         cublas     0.2313     145.1
   16384   512  bf16        ref_fht     0.0332    1010.9
   16384   512  bf16 rotate+quant_fp8     0.4018      83.5
   16384   512  bf16 rotate+quant_int4     0.4765      70.4
