rows,dim,dtype,impl,ms,gbps
1024,64,f16,memcpy,0.008091520071029663,32.397373756577935
1024,64,f16,cublas,0.024435200691223145,10.728129607470718
1024,64,f16,ref_fht,0.028586881160736086,9.170080447952232
1024,64,f16,rotate+quant_fp8,0.11588800430297852,2.2620460294980025
1024,64,f16,rotate+quant_int4,0.17872896194458007,1.466712485474431
1024,64,bf16,memcpy,0.007758079767227173,33.78980467658859
1024,64,bf16,cublas,0.02605823993682861,10.059927325694275
1024,64,bf16,ref_fht,0.015382399559020996,17.04181450976976
1024,64,bf16,rotate+quant_fp8,0.16648000717163086,1.5746275150609843
1024,64,bf16,rotate+quant_int4,0.18002815246582032,1.4561278133972406
4096,64,f16,memcpy,0.010904959440231322,96.15588262818491
4096,64,f16,cublas,0.042224640846252444,24.833272207525813
4096,64,f16,ref_fht,0.026815359592437745,39.10355915181205
4096,64,f16,rotate+quant_fp8,0.15772416114807128,6.648163428909271
4096,64,f16,rotate+quant_int4,0.17406272888183594,6.0241270876077975
4096,64,bf16,memcpy,0.011722240447998047,89.4518419624363
4096,64,bf16,cublas,0.04234367847442627,24.763460279750944
4096,64,bf16,ref_fht,0.02914367914199829,35.9795341861598
4096,64,bf16,rotate+quant_fp8,0.11400383949279785,9.19772531052556
4096,64,bf16,rotate+quant_int4,0.12084863662719726,8.676771449517664
16384,64,f16,memcpy,0.00669439971446991,626.5392236639282
16384,64,f16,cublas,0.02364351987838745,177.397613450695
16384,64,f16,ref_fht,0.01897984027862549,220.98731803994662
16384,64,f16,rotate+quant_fp8,0.10224063873291016,41.023843864640284
16384,64,f16,rotate+quant_int4,0.10887680053710938,38.52339506036844
16384,64,bf16,memcpy,0.007985919713973999,525.2123925890066
16384,64,bf16,cublas,0.023860480785369873,175.78455512814938
16384,64,bf16,ref_fht,0.018985600471496583,220.92027093359422
16384,64,bf16,rotate+quant_fp8,0.10419263839721679,40.25528160645982
16384,64,bf16,rotate+quant_int4,0.11328703880310059,37.023688184576365
65536,64,f16,memcpy,0.010680960416793823,1570.7591214008198
65536,64,f16,cublas,0.03184767961502075,526.7955531707602
65536,64,f16,ref_fht,0.06799104213714599,246.75627071810968
65536,64,f16,rotate+quant_fp8,0.1658233642578125,101.17522385998491
65536,64,f16,rotate+quant_int4,0.1927686309814453,87.03291564909681
65536,64,bf16,memcpy,0.01092736005783081,1535.3402753464723
65536,64,bf16,cublas,0.03916543960571289,428.3678714933352
65536,64,bf16,ref_fht,0.06801343917846679,246.67501309523112
65536,64,bf16,rotate+quant_fp8,0.16956159591674805,98.94466909970188
65536,64,bf16,rotate+quant_int4,0.20318464279174805,82.57127984419388
262144,64,f16,memcpy,0.17338048934936523,387.06122154710425
262144,64,f16,cublas,0.1751091194152832,383.24025741256094
262144,64,f16,ref_fht,0.2704287910461426,248.1572459071097
262144,64,f16,rotate+quant_fp8,1.0133721923828125,66.22331311677524
262144,64,f16,rotate+quant_int4,1.2660006713867187,53.0085532470469
262144,64,bf16,memcpy,0.17250240325927735,389.0314727913266
262144,64,bf16,cublas,0.17864448547363282,375.65595054376854
262144,64,bf16,ref_fht,0.27878847122192385,240.7160658612004
262144,64,bf16,rotate+quant_fp8,1.0157625579833984,66.06747164734223
262144,64,bf16,rotate+quant_int4,1.2660281372070312,53.007403254123574
1024,128,f16,memcpy,0.008470399975776673,61.896486765600066
1024,128,f16,cublas,0.035683839321136473,14.692589417906342
1024,128,f16,ref_fht,0.0155513596534729,33.71332228709127
1024,128,f16,rotate+quant_fp8,0.11840767860412597,4.427820950302212
