    rows    dim dtype kern  acc     tpr  rpb     grid  block        ms      GB/s    %peak
   65536   1024 f16   reg   native    32    1    65536     32    0.7113     377.4    84.2%
   65536   1024 f16   reg   native    32    2    32768     64    0.7189     373.4    83.3%
   65536   1024 f16   reg   native    32    4    16384    128    0.7087     378.8    84.5%
   65536   1024 f16   reg   native    32    8     8192    256    0.7135     376.2    84.0%
   65536   1024 f16   reg   native    32   16     4096    512    0.7130     376.5    84.0%
   65536   1024 f16   reg   native    32   32     2048   1024    0.7109     377.6    84.3%

best configuration per dim:
    rows    dim dtype kern  acc      tpr  rpb     grid  block        ms      GB/s    %peak
   65536     64 f16   reg   native     8    8     8192     64    0.0105    1595.3   356.1%
   65536    128 f16   reg   native    16    8     8192    128    0.0202    1659.5   370.4%
   65536    256 f16   reg   native    32   32     2048   1024    0.1711     392.1    87.5%
   65536    512 f16   reg   native    32    1    65536     32    0.3489     384.7    85.9%
   65536   1024 f16   reg   native     8   32     2048    256    0.7054     380.6    84.9%
wrote data\tune.csv
